"Description","GeneRatio","p.adjust","Count","cluster","geneID"
"cation transport",0.0615247436469015,4.90217413228989e-10,138,"III","nAChRalpha1/nAChRalpha2/eag/Ca-alpha1D/Atpalpha/Sh/Shaw/slo/tipE/w/Syt1/GluRIA/Shal/ATPsynbeta/SerT/RyR/Elk/ine/nrv2/ppk/dve/Tsf1/CG3078/ZnT41F/CG4928/CG1688/Syt4/GluRIID/ZnT35C/Nckx30C/nAChRalpha5/CG15270/CG15279/SK/NAAT1/CG9657/CG1628/SelG/CG1840/CG1824/CG4239/ppk23/Usp2/VGlut/OtopLb/Nha1/CG13794/Ostgamma/CG7781/CG14275/Mco1/nAChRalpha6/CG4995/Vha100-5/atilla/CG9336/CG9338/nrv3/sand/CG1698/KCNQ/CG6329/VGAT/DAT/levy/galene/CG5687/Teh2/VhaM9.7-a/ppk26/crim/Ncc69/Tsf2/CG1090/Task7/Teh1/Tpc1/CG6723/Zip89B/Vha100-4/ChT/CG7720/KaiR1D/CG4743/Mco3/ATPsynC/salt/Syt7/Gat/Vha36-3/GluRIIC/CG31030/GluRIIE/NKCC/CG31676/Ndfip/CG32669/CG32850/ppk13/dpr3/Mid1/pain/Ctr1A/Rgk2/CG34396/Rgk3/Sec61alpha/Orct2/CG42235/CG42260/OtopLc/CG42340/Ca-beta/OtopLa/CG31904/qvr/Vmat/CG42594/stj/Syt12/Sytbeta/rtv/CngA/Ca-Ma2d/Shab/CG43155/Cngl/Ih/Vha68-2/Stacl/GluRIB/Ca-alpha1T/Rgk1/Vha68-1/Neto/CngB/Vha13/para"
"taxis",0.0615141955835962,7.21601639167603e-05,78,"I","eya/D/dpp/en/E(z)/grn/Sos/robo2/sens/peb/ras/ptc/Nrt/Ptp4E/Ten-m/pros/zfh1/hh/otk/robo1/comm/hep/trn/sqz/Sema1a/babo/fra/shot/gcm/mirr/Shc/drl/Vang/fz2/Tor/stan/msps/Rich/Fmr1/nerfin-1/Surf1/SoxN/raptor/Nf-YC/hiw/erm/beat-IIIc/CdGAPr/CarT/ckn/unc-5/Toll-7/Lrt/CG10543/Toll-6/Vav/boi/Alk/wun2/SCAR/Liprin-alpha/CG32100/Mical/lap/jeb/vvl/psidin/wb/Dbx/mid/hts/sli/ab/Ten-a/S6k/InR/Sac1/Sema5c"
"regulation of localization",0.0607255520504732,0.0526654671259695,77,"I","ca/ft/ImpL2/peb/srp/pros/hh/betaCOP/Itpr/comm/Akt1/jar/Mvl/wts/Rel/gcm/Pi3K59F/Apc/Cnx99A/Nak/Rbf/Pi3K21B/gbb/beta'COP/alphaCOP/drpr/cindr/Sec71/gammaCOP/deltaCOP/CG9650/THADA/TBC1D23/CG9175/Uvrag/CG2121/CG13185/wash/Lst/RhoGAP68F/Wnk/Rab23/prd1/Fbxl7/RhoGAP92B/CG7956/CG6454/AdoR/SH3PX1/Asap/Sec16/mim/Lasp/NKAIN/lap/step/corn/crb/Rbsn-5/mgl/didum/Sec23/Sec24CD/nsl1/Fs(2)Ket/S6kII/cnc/SERCA/mib1/rdx/garz/PsGEF/AP-2alpha/Sec5/FASN1/InR/Ttd14"
"establishment of protein localization",0.0606262491672219,0.00122525296996755,182,"II","Abl/Arl1/car/cm/dor/g/Hmr/l(2)gl/lt/Rab32/Rcc1/or/rb/RanGAP/Su(dx)/boca/Klp61F/por/nmd/Arf79F/Nup214/Srp54k/dia/tsr/Syx1A/Arf102F/Arf51F/Mtor/Rab2/Rho1/Vps26/RabX1/Lis-1/Rab10/Rab11/Rab14/Ran/emb/Osbp/Nup154/Vps25/Cse1/Clc/AP-1mu/Kap-alpha1/Tnpo/unc-119/Crag/Rok/mbo/msk/Rep/Nipped-B/Kap-alpha3/Stam/Dnz1/Nup93-1/Nxt1/JhI-21/CG14270/Pink1/Arfrp1/Gga/Spase25/Tango10/Tango4/Tango2/CG9240/Nup35/Nup205/Rab35/Ntf-2/Vps29/Hrs/Tnpo-SR/Snx21/GABPI/Mon1/Ripalpha/Tom70/Pex19/Sgt/Tango6/Lamp1/CG11141/Nup50/CG8027/CG8841/Nup54/Pex13/eIF3m/Lap1/CG8314/Nup62/Ehbp1/Vps35/CG3776/RabX6/CG13887/CHMP2B/Ist1/pst/Srp9/Arl5/Pex2/GAPsec/CG4942/wls/Syx13/mop/Pex3/CG13029/Tom20/CG4074/Pex14/Vps37B/dgrn/Arl8/CG11753/CG9356/CG9393/CG14696/Ranbp9/CG14712/CG5196/Snx3/Nup93-2/CG14894/CG7215/Vps39/Nup133/p53/RanBP3/Nup98-96/AP-1sigma/TBC1d7/Sil1/Nup358/CG5447/p115/Scamp/Spase12/tamo/tral/Arts/Apl/Tango11/CG31495/CG31935/CG32022/CG32039/Ranbp16/Nup153/CG33722/eca/CG9853/mol/Karybeta3/alphaSnap/Hip14/Tango9/Sec22/Bet3/Vti1a/app/cdm/Rab8/Nup160/Arp3/milt/scrib/Nha2/Tim17b/PIG-V/Doa/ebo/Gp210/Sec15/Topors/sau/Pen/Syx7"
"mitotic cell cycle process",0.0596269153897402,5.33441550688418e-13,179,"II","Act5C/bru1/asp/aub/aurA/brm/chic/CycA/CycB/dsh/Hmr/dlg1/l(2)gl/sti/twe/mor/mr/mud/mus101/mus304/Myb/ncd/pim/polo/PpV/shi/smo/spn-E/sub/thr/Pp1-87B/Cdk1/Klp61F/Klp67A/shtd/B52/Su(H)/tws/Eip63E/PCNA/Dsor1/CycD/Arf79F/CycE/dia/Mad/tsr/Wee1/Arp53D/ctp/Syx1A/l(2)dtl/pnut/Mtor/Cdk5/Rho1/prod/glu/CycB3/Lis-1/lok/14-3-3epsilon/Ran/mre11/Pkn/chb/DCTN2-p50/san/aurB/Bub3/Cdc16/Rad17/Mcm6/JTBR/dgt4/Rok/Mad1/Nipped-B/Hus1-like/Su(var)2-HP2/Apc2/Eb1/Kmn1/RecQ5/ana2/SMC2/ball/Pol31/ric8a/CHORD/Nek2/Aladin/Psf3/Klp10A/Aven/Sap30/CG8188/CG8173/Rab35/Wdr62/Fign/Spindly/Mnn1/Nuf2/CG5181/borr/CG6443/BuGZ/CG10336/CG15237/mms4/dgt5/mars/dgt3/Rae1/Slik/JMJD5/Psf1/Mfap1/Sse/mad2/Cdc6/nudE/Cep135/PEK/Tctp/Lkb1/Mau2/CG13599/spas/Mink/CG5003/dgt6/CycG/pont/pins/p115/Kat60/cana/mus81/ago/Chro/tefu/Haspin/Rif1/Prp38/Nnf1b/Tap42/Claspin/APC4/Synd/CG34025/Zwilch/endos/ALiX/tum/DCTN6-p27/Spc25/alphaSnap/lmgA/cno/bora/pds5/gwl/mei-38/vtd/Incenp/grp/scra/nej/Xpd/aPKC/CG43295/Patronin/BubR1/Det/smt3/sau/Top2"
"enzyme-linked receptor protein signaling pathway",0.0591482649842271,2.45196012581195e-06,75,"I","Ama/aop/cv-2/dpp/fkh/Hsp83/ImpL2/Sos/pnt/shn/sog/Egfr/tsg/ttk/vn/Ptp4E/ey/gcl/CanA1/hep/Akt1/babo/Ret/Gp150/phyl/bnl/sty/Shark/Shc/drl/mbc/stumps/Pi3K21B/Tor/edl/gbb/brk/p38b/Fmr1/raptor/slpr/hiw/rictor/CG13398/ths/Sin1/ckn/lbk/p130CAS/rno/Mkp3/srl/Vav/Alk/Socs36E/HDAC4/spin/jeb/step/grh/Mob4/tay/Myc/S6kII/hppy/Lpin/Ack-like/spg/PDZ-GEF/Ns3/PRAS40/ltl/S6k/InR/btl"
"cell death",0.0591482649842271,0.0043671340595277,75,"I","abd-A/Abd-B/eya/cn/ec/en/fkh/ft/kto/sens/Met/pnt/rst/Egfr/ptc/hid/sc/ex/Itpr/hep/Akt1/wts/klu/Pi3K59F/Apc/Rbf/pcm/Tor/syd/brk/E2f2/TBPH/drpr/Fmr1/raptor/CG14441/HUWE1/AIF/CG4230/CYLD/CG17019/SCCRO3/Atg9/CG10914/yki/NijA/Atg17/FBXO11/trus/Dcr-1/CG15547/wun2/Atg2/CG17230/Tre1/Drak/sav/Tab2/spin/psidin/Clbn/bun/Diap1/Vps15/Ubr3/kibra/Sarm/Myc/bel/hppy/Atg6/rdx/Bruce/Duox/wg"
"microtubule-based process",0.0589606928714191,0.0154518564714698,177,"II","asp/aurA/awd/Axs/baz/BicD/Bsg25D/Cam/Pka-C1/cos/CycB/dsh/fu/g/Galphai/grk/hook/egh/Grip91/dlg1/ifc/l(2)gl/Map205/mago/mud/Myb/ncd/polo/spir/spn-D/stau/sub/alphaTub84B/alphaTub84D/Pp1-87B/mts/fwd/Klp61F/Klp67A/tws/PCNA/dia/heph/cpb/tsr/Wee1/ctp/Mtor/Lis-1/Rab11/mael/fry/Lk6/14-3-3epsilon/Ran/asun/emb/chb/Nup154/DCTN2-p50/Pp4-19C/mip130/aurB/Dlc90F/fws/CG12179/SkpA/dgt4/Rok/par-6/Grip75/Grip163/Apc2/Eb1/Kmn1/wdb/CG8878/Tnks/ana2/ball/ric8a/Prosbeta5/CHORD/Vap33/Pink1/fh/Aladin/Klp10A/Lsd-2/Wdr62/Fign/CG2955/Rcd4/CG4537/Klp31E/Bug22/BuGZ/Grip71/Tbce/tsu/BBS4/dgt5/mars/Rcd1/CG6805/TBCB/dgt3/CG13531/sigmar/Slik/CG13901/msd1/mad2/nudE/Poc1/mop/Cep135/CG14651/CG17816/Arl8/CG5359/Lkb1/Lrrk/Miro/spas/atl/Mink/dgt6/CG17493/pont/pins/Kat60/DCTN5-p25/cana/armi/tral/Chro/TTLL5/Jupiter/Tap42/CG32318/Synd/tum/spn-F/DCTN6-p27/Spc25/Prosbeta7/cno/Pka-R1/bora/gwl/Pp2A-29B/Atg1/mei-38/Incenp/asl/grp/capt/aPKC/CG42837/ana1/milt/Patronin/sqd/Rcd5/jvl/Det/ens/smt3/Sgt1/ghi/stai/Topors/sau/dop/Girdin/betaTub56D"
"positive regulation of cell communication",0.0589606928714191,0.0245467929762398,177,"II","bam/ben/BicD/bur/Pka-C1/crc/Dab/dor/ea/flw/gd/l(2)gl/dco/hyd/ndl/Pp1alpha-96A/put/Ras85D/smo/snk/spz/Su(var)2-10/tor/Pp1-87B/mts/Rap1/tws/gig/Eip63E/Rox8/Parp/CycD/Rac1/Cdc42/CycE/pll/lwr/msn/Uch-L5/Ssdp/Cdc37/BRWD3/Mtor/CkIalpha/Ubc4/ksr/Lis-1/RtGEF/Cdk4/Usp47/spen/14-3-3epsilon/lig/Pdk1/CtBP/IKKbeta/trio/Mekk1/Crk/Tnpo/CG14812/par-6/Tsc1/Tak1/wdb/Tnks/botv/lili/Nulp1/CG7028/Akap200/JhI-21/EndoGI/Lnk/Smurf/Uba2/Mkrn1/sotv/Aos1/Pink1/pod1/Nek2/Usp7/CG11103/Rcp/DENR/wcy/CG8173/Socs16D/Tao/cactin/shv/Hrs/Fnta/Pez/Fgop2/Mnn1/CycY/CG5110/Nf-YB/Pngl/Dhx15/Myd88/Sting/Git/Mos/O-fut1/Ehbp1/Gbp1/Dcr-2/nopo/CG5189/Gint3/Rae1/Vps35/sigmar/Herc4/Uev1A/Pura/UbcE2M/wls/nst/mop/Smn/Rnf146/CG14184/eIF3f1/PEK/dgrn/M1BP/hyx/Art4/ohgt/Snx3/Ccm3/Sur-8/p53/spas/grass/CycG/Slmap/pont/GNBP1/olf186-F/dlp/mask/ave/Cnot4/CG31935/Usp10/CG32521/akirin/rumi/ALiX/gish/26-29-p/cno/Pka-R1/Gprk1/sxc/CG42674/nej/aPKC/magu/Src64B/Uba3/ebi/smt3/Src42A/Traf6/ttv/Doa/Ote/Vps4/lola/elgi/RpS12"
"positive regulation of signaling",0.0589606928714191,0.0245467929762398,177,"II","bam/ben/BicD/bur/Pka-C1/crc/Dab/dor/ea/flw/gd/l(2)gl/dco/hyd/ndl/Pp1alpha-96A/put/Ras85D/smo/snk/spz/Su(var)2-10/tor/Pp1-87B/mts/Rap1/tws/gig/Eip63E/Rox8/Parp/CycD/Rac1/Cdc42/CycE/pll/lwr/msn/Uch-L5/Ssdp/Cdc37/BRWD3/Mtor/CkIalpha/Ubc4/ksr/Lis-1/RtGEF/Cdk4/Usp47/spen/14-3-3epsilon/lig/Pdk1/CtBP/IKKbeta/trio/Mekk1/Crk/Tnpo/CG14812/par-6/Tsc1/Tak1/wdb/Tnks/botv/lili/Nulp1/CG7028/Akap200/JhI-21/EndoGI/Lnk/Smurf/Uba2/Mkrn1/sotv/Aos1/Pink1/pod1/Nek2/Usp7/CG11103/Rcp/DENR/wcy/CG8173/Socs16D/Tao/cactin/shv/Hrs/Fnta/Pez/Fgop2/Mnn1/CycY/CG5110/Nf-YB/Pngl/Dhx15/Myd88/Sting/Git/Mos/O-fut1/Ehbp1/Gbp1/Dcr-2/nopo/CG5189/Gint3/Rae1/Vps35/sigmar/Herc4/Uev1A/Pura/UbcE2M/wls/nst/mop/Smn/Rnf146/CG14184/eIF3f1/PEK/dgrn/M1BP/hyx/Art4/ohgt/Snx3/Ccm3/Sur-8/p53/spas/grass/CycG/Slmap/pont/GNBP1/olf186-F/dlp/mask/ave/Cnot4/CG31935/Usp10/CG32521/akirin/rumi/ALiX/gish/26-29-p/cno/Pka-R1/Gprk1/sxc/CG42674/nej/aPKC/magu/Src64B/Uba3/ebi/smt3/Src42A/Traf6/ttv/Doa/Ote/Vps4/lola/elgi/RpS12"
"epithelial cell development",0.0583596214511041,0.000136344094898899,74,"I","aop/capu/Cf2/eya/dpp/emc/Jra/mam/peb/Scm/Egfr/ttk/ptc/vn/ex/ph-p/phm/hep/Akt1/jar/wts/mirr/sty/Shark/Shc/mbc/Apc/rin/Rbf/Vang/RhoGEF2/gbb/WASp/cindr/Cdc7/pigs/slpr/jub/mip120/yki/Ppat-Dpck/Cad74A/twf/Vav/RecQ4/tai/Socs36E/mim/Shrm/psidin/bun/grh/crb/Nost/Diap1/Ppcs/Dhc64C/mid/RanBPM/kibra/Fs(2)Ket/SERCA/nclb/ab/garz/AP-2alpha/Sec5/Sec6/Sec8/da/vas/InR/wg/btl"
"positive regulation of developmental process",0.0575709779179811,1.33785192499135e-09,73,"I","abd-A/Abd-B/Ama/dpp/ec/Hsp83/ImpL2/E(spl)mgamma-HLH/pnt/Egfr/hid/oc/pros/hh/ci/ey/Sox14/dpn/Akt1/dmGlut/babo/klu/shot/gcm/Nf1/Pi3K59F/Vang/pcm/Tor/Dap160/gbb/stan/p38b/TBPH/Drp1/Sec71/Fmr1/nerfin-1/lva/jub/CG13001/IntS2/rictor/erm/Sin1/Orcokinin/IntS1/yki/RhoGAP68F/hzg/wnd/Arfip/RhoGAP92B/RIOK2/bchs/step/bun/Mob4/dl/Dhc64C/pico/d/Sec23/Sec24CD/Myc/dar1/Hr4/Sec8/btsz/InR/wg/btl/Imp"
"chemotaxis",0.0575709779179811,2.97763380038283e-06,73,"I","eya/D/dpp/en/E(z)/grn/Sos/robo2/sens/peb/ras/ptc/Nrt/Ptp4E/Ten-m/pros/zfh1/hh/otk/robo1/comm/hep/trn/sqz/Sema1a/babo/fra/shot/gcm/mirr/Shc/drl/Vang/fz2/Tor/stan/msps/Rich/Fmr1/nerfin-1/SoxN/raptor/Nf-YC/hiw/erm/beat-IIIc/CdGAPr/ckn/unc-5/Toll-7/Lrt/Toll-6/Vav/boi/Alk/wun2/SCAR/Liprin-alpha/Mical/jeb/vvl/psidin/wb/Dbx/mid/hts/sli/ab/Ten-a/S6k/InR/Sac1/Sema5c"
"wing disc morphogenesis",0.0575709779179811,1.03129079965501e-05,73,"I","Dll/cv-2/dpp/Dr/emc/en/fj/ft/hth/inv/mam/pnt/px/shn/sog/Egfr/trc/tsh/ptc/vg/vn/zfh2/hh/babo/shot/mirr/sty/Shc/SMC3/Vang/ast/Past1/fz2/pcm/crol/RhoGEF2/gbb/brk/stan/p38b/CG13366/mthl1/CNBP/Ppat-Dpck/Mkp3/Usp8/Socs36E/frc/Drak/pan/frtz/step/dgo/Chd1/Nost/tay/Rbsn-5/Ppcs/salm/Asx/l(2)gd1/d/S6kII/Rabex-5/Lpin/Lpt/Bx/PDZ-GEF/ltl/Duox/wg/ds/cv-c"
"synaptic signaling",0.0570664288898796,2.03352571856657e-09,128,"III","Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/ChAT/comt/Fas2/Galphas/na/Atpalpha/rt/rut/Sh/slo/svp/nAChRbeta2/5-HT1A/Syt1/Rdl/5-HT7/Rop/Syn/Cbp53E/TkR99D/Shal/Rab3/CanB/Lcch3/Nmdar1/Snap25/Dop1R1/nSyb/Ipp/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Srpk79D/Eaat1/GABA-B-R2/Syt4/GluRIID/gammaSnap1/nAChRalpha5/NtR/Rab3-GEF/Frq1/wgn/Syx16/VGlut/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/twit/CG9336/CG9338/Dyb/CG6329/Syngr/VGAT/DAT/P32/CG10339/spz5/FMRFaR/unc-13-4A/PGRP-LC/crim/SecCl/Neurochondrin/mAChR-B/KaiR1D/Nrx-1/Tusp/CDase/kek6/Syt7/CG11155/Cals/cpx/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31475/CG31676/CG32447/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/beta-Spec/brp/Ca-beta/qvr/stj/Syt12/Sytbeta/rtv/NT1/Exn/nemy/Ank2/Rbp/Shab/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/CaMKII/pHCl-1/Neto/Esyt2/VAChT"
"RNA splicing",0.0569620253164557,3.86400965653599e-21,171,"II","bru1/aub/crn/SmF/ecd/fl(2)d/Hrb98DE/l(1)10Bb/eIF4A/Mtr4/mago/mod/snf/vir/Pep/B52/Hrb27C/Bx42/U2af50/Rox8/Dbp45A/Parp/Ref1/Rsf1/Gem3/Hel25E/noi/Psi/Spx/U2af38/dom/ytr/ubl/Cbp80/Cbp20/qkr58E-3/qkr58E-2/Parg/Es2/sip1/Srp54/Bin1/Neos/kin17/ssx/CG2685/SF1/l(1)G0007/CG7028/Ythdc1/CG5808/Prp18/CG4119/x16/hfp/CG4935/CG16865/icln/asf1/CG3198/CG1677/Tango4/CG1622/CG15747/CG5877/CG6227/CG9213/CG6179/Usp39/cactin/Sf3b1/CG4887/Cwc25/Tnpo-SR/CG3542/Sf3b2/CG3225/Phf5a/Caper/Mettl14/Bug22/CG6686/CG10333/CG10466/Ars2/Dhx15/tsu/Lsm11/CG12343/Prp8/cbc/CG11808/CG8435/CG7747/CG15084/Cypl/Sf3b3/Srrm234/CG7974/CG2021/Mfap1/CG11586/CG6610/Sf3b6/ldbr/BI-1/Cpsf6/CG3335/CG10907/Tsen54/CG10418/Sf3a2/Srrm1/Prp31/Smn/U4-U6-60K/CG7564/Gem2/Prp3/CG14641/CG2926/CG1965/CG7483/beag/RnpS1/Pnn/obe/CG10324/CG5316/mdlc/CG6015/tbrd-1/CG5728/Saf-B/PQBP1/CG6066/BCAS2/Moca-cyp/CG17454/c12.1/Sf3b5/CG5986/CG30122/Prp38/LSm3/Spf45/ncm/pea/rig/Larp7/Rbp1/LSm7/Prp19/ymp/SmD2/SmE/SNRPG/snRNP-U1-C/SmD1/Ire1/SmB/Acn/sqd/l(3)72Ab/CG44249/Cdc5/Doa/Sf3a1/HnRNP-K/SF2/caz"
"chromosome organization",0.0569620253164557,6.38661324211202e-15,171,"II","asp/aub/Cam/chic/CycA/CycB/Hmr/kel/pho/mei-S332/mod(mdg4)/mr/ms(3)K81/mu2/mus301/mus304/Blm/Myb/ncd/pim/polo/spir/spn-B/spn-D/spn-E/Btk29A/sub/Su(var)3-7/Su(var)205/Su(var)2-10/thr/Pp1-87B/Klp61F/Klp67A/shtd/rhi/wapl/hop/piwi/enc/tws/Top1/Parp/eff/Mtor/prod/Nap1/glu/Cul1/spel1/Lis-1/HDAC1/pgc/Stat92E/Mcm5/lok/mre11/JIL-1/Mcm7/chb/Nup154/DCTN2-p50/san/aurB/SuUR/Bub3/Bap60/SkpA/Cdc16/Mcm6/Top3beta/Rok/cav/Mad1/Nipped-B/Hus1-like/Su(var)2-HP2/Eb1/Kmn1/RecQ5/MRG15/Tnks/Nup93-1/Ulp1/SMC2/ball/MBD-like/MTA1-like/RfC38/CG4078/Klp10A/Fign/Pif1/Spindly/HP6/lid/Nuf2/baf/borr/RfC3/BuGZ/Mcm10/CG15237/Nup50/Mos/mars/tej/krimp/Nup62/Panx/Rae1/rad50/Slik/Sse/mad2/nudE/PCID2/Smn/HipHop/Suv3/Snm1/Hat1/Arl8/CG8223/BigH1/Mau2/cal1/Nup133/HP1c/Nup98-96/spas/Mink/XNP/Kat60/cana/Ku80/Chrac-14/SA-2/Chro/tefu/Haspin/Rif1/nenya/Nnf1b/sunn/APC4/His1:CG33861/Zwilch/tum/egg/Spc25/lmgA/pzg/pds5/Su(var)3-3/gwl/RfC4/vtd/Incenp/zuc/CoRest/Xpd/Psf2/Mi-2/ver/Src64B/BubR1/gpp/Topors/solo/Top2"
"protein transport",0.0569620253164557,0.00300402429809893,171,"II","Abl/Arl1/car/cm/dor/g/Hmr/l(2)gl/lt/Rab32/Rcc1/or/rb/RanGAP/Su(dx)/boca/Klp61F/por/Arf79F/Nup214/Srp54k/dia/tsr/Syx1A/Arf102F/Arf51F/Mtor/Rab2/Vps26/RabX1/Lis-1/Rab10/Rab11/Rab14/Ran/emb/Osbp/Nup154/Vps25/Cse1/Clc/AP-1mu/Kap-alpha1/Tnpo/unc-119/Crag/mbo/msk/Rep/Kap-alpha3/Stam/Dnz1/Nup93-1/Nxt1/JhI-21/CG14270/Arfrp1/Gga/Spase25/Tango10/Tango4/Tango2/CG9240/Nup35/Nup205/Rab35/Ntf-2/Vps29/Hrs/Tnpo-SR/Snx21/GABPI/Mon1/Ripalpha/Tom70/Pex19/Sgt/Tango6/CG11141/Nup50/CG8027/CG8841/Nup54/Pex13/eIF3m/Lap1/CG8314/Nup62/Ehbp1/Vps35/CG3776/RabX6/CG13887/CHMP2B/Ist1/pst/Srp9/Arl5/Pex2/GAPsec/CG4942/wls/Syx13/mop/Pex3/CG13029/Tom20/CG4074/Pex14/Vps37B/Arl8/CG11753/CG9356/CG9393/CG14696/Ranbp9/CG14712/CG5196/Snx3/Nup93-2/CG14894/CG7215/Vps39/Nup133/p53/RanBP3/Nup98-96/AP-1sigma/TBC1d7/Sil1/Nup358/CG5447/p115/Scamp/Spase12/tamo/tral/Arts/Apl/Tango11/CG31495/CG32039/Ranbp16/Nup153/CG33722/eca/mol/Karybeta3/alphaSnap/Hip14/Tango9/Sec22/Bet3/Vti1a/app/cdm/Rab8/Nup160/Arp3/milt/scrib/Nha2/Tim17b/Doa/ebo/Gp210/Sec15/Topors/sau/Pen/Syx7"
"respiratory system development",0.056782334384858,6.18598405072386e-08,72,"I","Abd-B/aop/dpp/ems/en/fj/ft/kni/knrl/Sos/robo2/lin/peb/pnt/rib/Egfr/ttk/ptc/vn/hid/Ptp4E/hh/ci/robo1/noc/Akt1/trn/wts/shot/bnl/sty/CCT3/Shc/stumps/Tor/RhoGEF2/Rbcn-3A/foi/stan/aft/gammaCOP/deltaCOP/seq/wash/sano/Blimp-1/Mkp3/Vav/pan/grh/crb/salm/Dhc64C/Sec23/Sec24CD/trh/sli/garz/Hph/Mtp/Nsf2/GckIII/Sec5/stac/btsz/Mcr/InR/Sac1/wg/ds/btl/cv-c"
"cell population proliferation",0.056782334384858,0.000109932916839135,72,"I","ac/Ama/btd/E(z)/ft/Hsp83/hth/Jra/wor/E(spl)mdelta-HLH/E(spl)mgamma-HLH/pnt/sna/Egfr/tsh/vg/vn/ex/pros/hh/ci/ey/dpn/Akt1/jar/babo/insc/wts/klu/mtd/Rel/bnl/gcm/Apc/Rbf/fz2/Pi3K21B/Tor/Sin3A/Dap160/Inx2/Madm/msps/RNaseZ/Fmr1/sds22/SoxN/erm/Uvrag/clu/yki/Mkp3/Dcr-1/RIOK2/RecQ4/sav/pxb/nub/pan/bun/grh/Mob4/crb/dl/Dhc64C/kibra/nsl1/hts/wake/InR/wg/btl"
"immune system process",0.056782334384858,0.0990151066981394,72,"I","ac/eya/dpp/Eip75B/Jra/pnr/pnt/srp/ush/zfh1/hh/ci/betaCOP/CanA1/hep/Akt1/Mef2/alpha-Man-IIa/mtd/imd/Rel/bnl/gcm/sty/Shark/Shc/fz2/gcm2/Tor/Sin3A/p38b/bip1/Drp1/Charon/senju/C1GalTA/CYLD/TM9SF2/Sec31/ths/casp/CG5721/Toll-7/Mkp3/Als2/slif/MED25/alpha-Man-Ib/Vav/CG32795/mRpL53/Ptip/pxb/DPCoAC/nub/Tab2/vvl/psidin/dl/Rrp40/Vps15/Dhc64C/Sarm/Myc/Ack-like/Atg6/PDZ-GEF/Sec5/InR/Duox/wg/btl"
"trans-synaptic signaling",0.0566205974141774,1.79390303444518e-09,127,"III","Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/ChAT/comt/Fas2/Galphas/na/Atpalpha/rt/rut/Sh/slo/svp/nAChRbeta2/5-HT1A/Syt1/Rdl/5-HT7/Rop/Syn/Cbp53E/TkR99D/Shal/Rab3/CanB/Lcch3/Nmdar1/Snap25/Dop1R1/nSyb/Ipp/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Srpk79D/Eaat1/GABA-B-R2/Syt4/GluRIID/gammaSnap1/nAChRalpha5/NtR/Rab3-GEF/Frq1/wgn/Syx16/VGlut/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/twit/CG9336/CG9338/Dyb/CG6329/Syngr/VGAT/DAT/P32/CG10339/spz5/FMRFaR/unc-13-4A/PGRP-LC/crim/SecCl/Neurochondrin/mAChR-B/KaiR1D/Nrx-1/CDase/kek6/Syt7/CG11155/Cals/cpx/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31475/CG31676/CG32447/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/beta-Spec/brp/Ca-beta/qvr/stj/Syt12/Sytbeta/rtv/NT1/Exn/nemy/Ank2/Rbp/Shab/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/CaMKII/pHCl-1/Neto/Esyt2/VAChT"
"chemical synaptic transmission",0.0561747659384753,2.09389731524293e-09,126,"III","Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/ChAT/comt/Fas2/Galphas/na/Atpalpha/rt/rut/Sh/slo/svp/nAChRbeta2/5-HT1A/Syt1/Rdl/5-HT7/Rop/Syn/Cbp53E/TkR99D/Shal/Rab3/CanB/Lcch3/Nmdar1/Snap25/Dop1R1/nSyb/Ipp/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Srpk79D/Eaat1/GABA-B-R2/Syt4/GluRIID/gammaSnap1/nAChRalpha5/NtR/Rab3-GEF/Frq1/wgn/Syx16/VGlut/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/twit/CG9336/CG9338/Dyb/CG6329/Syngr/VGAT/DAT/P32/CG10339/spz5/FMRFaR/unc-13-4A/PGRP-LC/crim/SecCl/Neurochondrin/mAChR-B/KaiR1D/Nrx-1/CDase/kek6/Syt7/CG11155/Cals/cpx/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31676/CG32447/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/beta-Spec/brp/Ca-beta/qvr/stj/Syt12/Sytbeta/rtv/NT1/Exn/nemy/Ank2/Rbp/Shab/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/CaMKII/pHCl-1/Neto/Esyt2/VAChT"
